index,x,y,phi,v,a,delta,u_j,u_ddelta,ref_idx
0,58.9030647277832,103.26998901367188,4.624774975262718,4.0990378251520525,0.0,-0.0891964904528338,0.47707009722487836,-1.9998314274659252,1201
1,58.86719734442846,102.86165747958277,4.610111274889884,4.0990378251520525,0.04770700972248784,-0.28917963319942636,0.3512235501089484,1.998906987556434,1205
2,58.82534638049128,102.45389577498338,4.561329513680911,4.103808526124301,0.08282936473338269,-0.08928893444378294,0.35508641305580557,-1.999689669527369,1210
3,58.76358996408895,102.04818825813898,4.546633450433336,4.11209146259764,0.11833800603896326,-0.2892579013965198,0.30767034320730324,1.9996844261773354,1214
4,58.69574146132801,101.64261515419743,4.49768232698182,4.123925263201536,0.14910504035969357,-0.08928945877878625,0.2578805372780592,-1.9993796396130266,1218
5,58.60787676885889,101.2396915986909,4.482914136920061,4.138835767237505,0.1748930940874995,-0.2892274227400889,0.2964738968689517,1.9998546531354005,1222
6,58.51373225896664,100.83665757241174,4.433650136849558,4.1563250766462545,0.20454048377439468,-0.08924195742654882,0.18004821521372721,-1.9950557080925597,1227
7,58.39937372271455,100.43706714883547,4.4187738803120356,4.176779125023694,0.22254530529576738,-0.2887475282358048,0.3640795394038257,1.9999221060202725,1231
8,58.278491679961014,100.03726423447382,4.369145509226414,4.199033655553271,0.25895325923615,-0.08875531763377753,0.09792131255867936,-0.5217053220952708,1236
9,58.13717608694042,99.64185464989863,4.354198778309025,4.224928981476887,0.26874539049201795,-0.14092584984330458,0.0749325376835098,1.995959566587924,1241
10,57.989058580298064,99.24617617788975,4.330223784260075,4.251803520526089,0.2762386442603689,0.05867010681548783,0.11465800553036723,-1.9998379880818904,1245
11,57.83049592727498,98.8516686154301,4.340213399582335,4.279427384952125,0.2877044448134056,-0.14131369199270122,0.006087656454442825,1.9982622538516681,1249
12,57.67487757681108,98.45302351458264,4.315861416573903,4.308197829433466,0.2883132104588499,0.05851253339246559,0.043223116938484595,-1.9998103887876808,1254
13,57.508487361707566,98.05563204299176,4.325956282631945,4.337029150479351,0.29263552215269834,-0.1414685054863025,-0.040844493333567385,1.9989884984231978,1258
14,57.34503055640517,97.65391063290585,4.301249116725106,4.366292702694621,0.2885510728193416,0.058430344356017294,-0.010381315570051555,-1.9997572296972712,1264
15,57.17052972052003,97.25366748439306,4.311465705655687,4.395147809976556,0.2875129412623365,-0.14154537861370986,-0.06802953754055586,1.9993408502661405,1268
16,56.99900091608336,96.84900575904219,4.286413660634327,4.423899104102789,0.2807099875082809,0.058388706412904216,-0.07919321189978601,-1.9996445325530348,1272
17,56.816201361851654,96.44614951196948,4.296757648195464,4.451970102853617,0.27279066631830234,-0.14157574684239924,-0.08975621757588523,1.9996261151459145,1277
18,56.63644523687152,96.03885586667269,4.271376202176793,4.479249169485447,0.2638150445607138,0.05838686467219221,-0.11012368590234288,-1.999467583026767,1282
19,56.445245995954316,95.63378848771451,4.28184927848242,4.505630673941519,0.2528026759704795,-0.14155989363048452,-0.09951131650806615,1.9997637606637972,1286
20,56.2571984029012,95.22434352139234,4.256164819517704,4.530910941538567,0.24285154431967287,0.0584164824358952,-0.143197119312624,-1.999141302423877,1291
21,56.05758386540275,94.81759350477179,4.266764074039368,4.555196095970534,0.2285318323884105,-0.14149764780649252,-0.08764291258566183,1.9998356638046006,1296
22,55.86124496359318,94.40655926001394,4.240808638085983,4.578049279209376,0.2197675411298443,0.058485918573967545,-0.17204590035516082,-1.9971382914001998,1300
23,55.65326661013671,93.99872307167084,4.251530923128621,4.60002603332236,0.20256295109432823,-0.14122791056605244,-0.07508499516085244,1.9998805707436673,1304
24,55.448695720808914,93.58671197192707,4.2253706840093495,4.620282328431792,0.195054451578243,0.058760146508314307,-0.1963485682427831,-1.4181089372091689,1309
25,55.232469767482,93.17840274468372,4.236242738397743,4.6397877735896165,0.1754195947539647,-0.0830507472126026,-0.15953314811099387,1.9997576416082672,1314
26,55.019801619135535,92.76603329319829,4.22079368883205,4.657329733065013,0.15946627994286533,0.11692501694822414,-0.20601275611544048,-1.9992116262540889,1318
27,54.799960348550094,92.3554519758295,4.242675834447392,4.673276361059299,0.1388650043313213,-0.08299614567718475,-0.14435032866508352,1.9998095223582344,1324
28,54.588433599121366,91.93873678082879,4.227125555706761,4.687162861492432,0.12442997146481294,0.11698480655863873,-0.2089733809365979,-1.998666811742649,1328
29,54.369804923804935,91.52413280203587,4.249159234724928,4.699605858638913,0.10353263337115315,-0.0828818746156262,-0.1494877956774739,1.9998376818884924,1332
30,54.15980782578765,91.10369948854863,4.233542974458141,4.709959121976028,0.08858385380340575,0.11710189357322306,-0.21724815351590873,-1.9954181534642452,1337
31,53.942793971720825,90.68567779479349,4.255706179393796,4.718817507356369,0.06685903845181487,-0.08243992177320146,-0.12268459915748854,1.9998666771649256,1342
32,53.7347067257777,90.26215437778667,4.24011007337803,4.725503411201551,0.05459057853606601,0.1175467459432911,-0.2229365734262694,-1.6122042645373063,1346
33,53.5197355853306,89.84133228513035,4.262431677797632,4.730962469055157,0.03229692119343907,-0.04367368051043952,-0.16487065154567074,1.9997982775197825,1351
34,53.31397321281559,89.41532535456105,4.2541616773539515,4.7341921611745015,0.015809856038871993,0.15630614724153874,-0.20927553307159785,-1.9986533491345664,1356
35,53.10455197092649,88.99074497626397,4.284004443230285,4.735773146778389,-0.005117697268287795,-0.043559187671917916,-0.15155599356545021,1.9998201618888203,1360
36,52.9078270741648,88.55996105366289,4.275747763236056,4.73526137705156,-0.02027329662483282,0.15642282851696412,-0.20584932056762842,-1.9976085142212006,1365
