t_sim_s,x,y,phi,v,delta,ref_idx,a
1295.493,58.88725280761719,180.7896270751953,-1.5682338331940224,4.004933635423989,0.0,366,0.014922631863634628
1295.5542,58.88787078857422,180.54400634765625,-1.5682338331940224,4.011801107939354,0.0,368,0.0027261041311321677
1295.6778,58.88916778564453,180.0477752685547,-1.5682338331940224,4.015978648713385,0.0,373,0.007223627025193302
1295.8091,58.89053726196289,179.52101135253906,-1.5682338331940224,4.011140659236742,0.0,379,0.012856012634812508
1295.8777,58.89125442504883,179.2459259033203,-1.5682338331940224,4.006611152158095,0.0,382,0.00805236935379483
1296.0022,58.89252471923828,178.74661254882812,-1.5682338331940224,4.0134761982957565,0.0,387,0.007152591846772971
1296.0658,58.89317321777344,178.4914093017578,-1.5682338331940224,4.016114557702399,0.0,389,0.011821292880552114
1296.184,58.89437484741211,178.0162811279297,-1.5682338331940224,4.019717568304134,0.0,394,0.012204231927120723
1296.3022,58.89557647705078,177.54161071777344,-1.5682338331940224,4.014554331492765,0.0,399,0.011468459769748307
1296.3603,58.89616012573242,177.30868530273438,-1.5682338331940224,4.015018772782624,0.0,402,0.01242161167197775
1296.4811,58.89742660522461,176.82308959960938,-1.5682338331940224,4.0172728095983485,0.0,407,0.008237363611546478
1296.6033,58.89868927001953,176.33164978027344,-1.5682338331940224,4.023786406169555,0.0,412,0.01191918004778092
1296.665,58.89933776855469,176.0834197998047,-1.5682338331940224,4.024467331508956,0.0,414,0.012941147300976397
1296.7842,58.90056991577149,175.6040802001953,-1.5682338331940224,4.01804193189949,0.0,419,-0.005669004133691757
1296.9073,58.90188980102539,175.1091766357422,-1.5682338331940224,4.02345035242368,0.0,425,-0.021846235034395534
1296.9726,58.90266799926758,174.8463897705078,-1.5682322352973683,4.021782377258269,0.0,427,-0.0075384514681759995
1297.0998,58.90423202514648,174.33456420898438,-1.568224778446316,4.013607834375943,0.0,433,0.0025264468060850476
1297.1623,58.9047737121582,174.08314514160156,-1.568222115285226,4.012799668268173,0.0,435,0.010352933745584103
1297.2921,58.9048080444336,173.560546875,-1.568428510269707,4.0221711436720975,0.0,441,0.032277486961328705
1297.3508,58.90510177612305,173.32395935058594,-1.5685773809746426,4.021847587457158,0.0,443,0.03738216783125381
1297.4787,58.9066276550293,172.80819702148438,-1.568728914840668,4.033738075970375,0.0,448,0.022143159416251557
1297.5991,58.9075927734375,172.32241821289062,-1.5688093423055884,4.033929622625165,0.0,453,0.008488901263182136
1297.666,58.90811538696289,172.0524139404297,-1.5688428981353235,4.029860047850204,0.0,456,-0.0027780400749550793
1297.7853,58.90908050537109,171.572509765625,-1.5688141359955503,4.027253923506318,0.0,461,-0.011066088817122122
1297.8503,58.90958786010742,171.31112670898438,-1.5687323769500852,4.02525370888612,0.0,464,-0.003853348806005741
1297.9717,58.909915924072266,170.82357788085938,-1.5685867020384578,4.027553914466458,0.0,469,0.011509694662345638
1298.0889,58.9100341796875,170.35214233398438,-1.5685797778196235,4.02904769531196,0.0,474,0.023419878714598497
1298.2076,58.91119384765625,169.87425231933594,-1.5685797778196235,4.030888626357403,0.0,479,0.023992512047072978
1298.2728,58.9117317199707,169.61135864257812,-1.5685797778196235,4.037735039661464,0.0,481,0.020436074028764573
1298.3913,58.91260147094727,169.13287353515625,-1.5685757830779885,4.038192471445572,0.0,486,0.01852358163465695
1298.4551,58.91300964355469,168.87530517578125,-1.5685763157102066,4.038607663954079,0.0,489,0.012188613354767952
1298.5873,58.91386032104492,168.3417205810547,-1.568589098883439,4.038430019853104,0.0,495,0.006480315872162912
1298.6508,58.91426086425781,168.08506774902344,-1.5685965557344912,4.0400298834509165,0.0,497,0.005954045598838498
1298.7806,58.9150619506836,167.56088256835938,-1.568625850506482,4.040782395922719,0.0,503,0.005635143124709252
1298.906,58.91600036621094,167.05430603027344,-1.5686322420930985,4.04162543105648,0.0,508,0.004348301701955215
1298.9671,58.91640853881836,166.8075408935547,-1.5686322420930985,4.041128749942009,0.0,510,0.00561769081369512
1299.0914,58.91728210449219,166.30548095703125,-1.5686218557648468,4.041544076989883,0.0,516,0.01219491710851095
1299.1513,58.91769027709961,166.06333923339844,-1.5686128010171407,4.041264128016093,0.0,518,0.015512926809333472
1299.2726,58.9184684753418,165.5728302001953,-1.5685867020384578,4.0451658421712375,0.0,523,0.012583353307385359
1299.4075,58.9193229675293,165.0266571044922,-1.5685784462390786,4.049436901916472,0.0,529,0.02009686120874754
1299.4777,58.91979217529297,164.74253845214844,-1.5685773809746426,4.048830205891351,0.0,532,0.12013799323367724
1299.603,58.920677185058594,164.23521423339844,-1.5685741851813344,4.046425974347927,0.0,537,0.2770501387833395
1299.6633,58.92112350463867,163.99087524414062,-1.5685741851813344,4.056479091866796,0.0,539,0.5427121637421877
1299.796,58.92207717895508,163.44737243652344,-1.5685752504457704,4.150088871554211,0.0,545,0.9218247746078969
1299.8516,58.922489166259766,163.21401977539062,-1.5685752504457704,4.221564011316838,0.0,548,1.1626242156408155
1299.9755,58.92356872558594,162.6782989501953,-1.5685691251752634,4.419415260233173,0.0,553,1.243721302303225
1300.1036,58.92454528808594,162.1007843017578,-1.5685440914610165,4.597665694614002,0.0,559,1.2663574530431223
1300.1703,58.9246711730957,161.79251098632812,-1.5685736525491163,4.667863587241537,0.0,562,1.2248041662521096
1300.2964,58.925559997558594,161.1973419189453,-1.5686333073575345,4.782425678482696,0.0,569,1.056161887269103
1300.3601,58.92632293701172,160.89044189453125,-1.568623187345392,4.855584657431476,0.0,572,0.8122222464209203
1300.479,58.92770004272461,160.303466796875,-1.5685448904093435,5.0101987803706445,0.0,578,0.7323070905404858
1300.6049,58.92913436889648,159.66468811035156,-1.5684681913699494,5.063044061745633,0.0,585,0.8521821184588738
1300.665,58.93001937866211,159.36178588867188,-1.5684418260751576,5.014707466530826,0.0,588,1.100571308940487
1300.8019,58.93061065673828,158.66539001464844,-1.5682434205739466,5.167888889733892,0.0,595,1.4709224051009837
1300.8681,58.93109130859375,158.31736755371094,-1.5682282405557333,5.322303564639153,0.0,599,1.6687266122752735
1300.9944,58.93319320678711,157.6146697998047,-1.5681992120998514,5.644051182103454,0.0,606,1.4860307768873087
1301.0545,58.93425750732422,157.26402282714844,-1.568222115285226,5.900114065113807,0.0,610,1.2202150497020634
1301.1809,58.93626022338867,156.51963806152344,-1.5682359637228944,5.846364075437926,0.0,617,1.1068354580955893
1301.3092,58.93818283081055,155.77210998535156,-1.5682370289873304,5.8222630577141015,0.0,625,0.9706201663288647
1301.3748,58.93915939331055,155.38824462890625,-1.5682370289873304,5.888144446361007,0.0,629,1.1652660914159423
1301.5021,58.94111633300781,154.6226348876953,-1.5682367626712217,6.185045758477189,0.0,638,1.5541633849136076
1301.5673,58.942161560058594,154.2134552001953,-1.5682367626712217,6.329739655068937,0.0,643,1.5489923637352963
1301.6888,58.944183349609375,153.42446899414062,-1.5682362300390034,6.582004576898738,0.0,651,1.251709709283661
1301.75,58.94520950317383,153.01988220214844,-1.5682359637228944,6.640785941166897,0.0,655,1.0072139011731904
1301.8821,58.94742965698242,152.14523315429688,-1.5682359637228944,6.6186139266435084,0.0,664,0.8080158514811506
1302.0181,58.94976043701172,151.24078369140625,-1.5682356974067857,6.706285987478349,0.0,673,0.5296163410860704
1302.0795,58.9508171081543,150.8251495361328,-1.5682356974067857,6.815713327240967,0.0,677,0.2967973984262766
1302.2036,58.953006744384766,149.9732208251953,-1.5682348984584584,6.904046756207858,0.0,687,0.04858372100259167
1302.2676,58.95413589477539,149.53273010253906,-1.5682348984584584,6.848360102943847,0.0,692,-0.12544241099063935
1302.3938,58.956321716308594,148.67755126953125,-1.5682356974067857,6.707837163292835,0.0,700,-0.24549658953753362
1302.462,58.95748519897461,148.22219848632812,-1.5682356974067857,6.665646471831614,0.0,705,-0.16486412502614378
1302.5852,58.95960235595703,147.3994140625,-1.5682356974067857,6.730910431897063,0.0,714,0.12409537277486127
1302.6533,58.96076583862305,146.94046020507812,-1.5682356974067857,6.743353062014229,0.0,718,0.2835168659849403
1302.7801,58.96295928955078,146.07752990722656,-1.5682348984584584,6.844189672111332,0.0,727,0.1580038568938935
1302.9068,58.965179443359375,145.20782470703125,-1.5682348984584584,6.836102966900211,0.0,736,-0.0259910403858159
1302.9698,58.96627426147461,144.77749633789062,-1.5682348984584584,6.820897534209179,0.0,740,-0.1182540933821068
1303.1034,58.96857833862305,143.87451171875,-1.5682356974067857,6.733663226413392,0.0,750,-0.1257261619711958
1303.1624,58.9696044921875,143.4788360595703,-1.5682356974067857,6.714609227112084,0.0,754,-0.03786529061579458
1303.2829,58.97167205810547,142.66860961914062,-1.5682356974067857,6.75467941363137,0.0,762,0.09171039024879146
1303.3986,58.97369384765625,141.8834686279297,-1.5682348984584584,6.799887063408977,0.0,770,0.20156736033633393
1303.4556,58.97468948364258,141.4945068359375,-1.5682348984584584,6.819248147084618,0.0,774,0.17626820788377984
1303.5878,58.97698211669922,140.59164428710938,-1.5682348984584584,6.827023003786744,0.0,783,0.01828152531338123
1303.7097,58.979129791259766,139.7582244873047,-1.5682348984584584,6.822816810075066,0.0,792,-0.11481227165509278
1303.7699,58.98019027709961,139.34750366210938,-1.5682348984584584,6.822740038552168,0.0,796,-0.1353878665135264
1303.8902,58.98227310180664,138.53282165527344,-1.5682348984584584,6.75010796380156,0.0,804,-0.08585433917871121
1303.955,58.98340225219727,138.095458984375,-1.5682348984584584,6.754214975036942,0.0,809,-0.016234453897379097
1304.0764,58.98549270629883,137.27621459960938,-1.5682356974067857,6.756668309320894,0.0,817,0.08947687860509568
1304.2053,58.98773193359375,136.4004669189453,-1.5682348984584584,6.807317165362205,0.0,826,0.16859348506832816
1304.2731,58.98892974853516,135.93829345703125,-1.5682348984584584,6.82200522936765,0.0,831,0.11176241780709528
1304.3995,58.99111557006836,135.07630920410156,-1.5682348984584584,6.840319651591174,0.0,840,-0.006844062235523474
1304.4597,58.9921760559082,134.6643829345703,-1.5682348984584584,6.832596772315656,0.0,844,-0.0710852079325246
1304.5854,58.99437713623047,133.8064727783203,-1.5682348984584584,6.7900489298492746,0.0,853,-0.1038945751971001
1304.7104,58.99653244018555,132.95916748046875,-1.5682348984584584,6.767092482598301,0.0,861,-0.1276821532526462
1304.7716,58.99759292602539,132.54393005371094,-1.5682348984584584,6.79114470419903,0.0,866,-0.009636436124175418
1304.8889,58.99961853027344,131.7501983642578,-1.5682348984584584,6.767285601562694,0.0,874,0.07862593671203566
1304.9517,59.00071334838867,131.32504272460938,-1.5682348984584584,6.77794866909149,0.0,878,0.03995431760660395
1305.0694,59.00276565551758,130.52267456054688,-1.5682348984584584,6.8350605969492655,0.0,886,0.02036816731557689
1305.1869,59.00481796264648,129.72242736816406,-1.5682348984584584,6.8007067522103455,0.0,894,0.024158081373199636
1305.2985,59.00675201416016,128.96409606933594,-1.5682348984584584,6.797484752193589,0.0,902,-0.01096204500167719
1305.3585,59.00779342651367,128.55799865722656,-1.5682348984584584,6.781313720883712,0.0,906,-0.0014886909294844486
1305.4746,59.00981140136719,127.77193450927734,-1.5682348984584584,6.788078631143672,0.0,914,0.0444947749113247
1305.5891,59.01180648803711,126.99310302734376,-1.5682348984584584,6.813968589895406,0.0,922,0.04825608038834961
1305.7052,59.01382827758789,126.2030029296875,-1.5682348984584584,6.82031006833472,0.0,930,0.02508648774106792
1305.7624,59.01482391357422,125.81314086914062,-1.5682348984584584,6.822376210980539,0.0,934,-0.029715632693330996
1305.8829,59.016937255859375,124.99076080322266,-1.5682348984584584,6.804678342485111,0.0,943,-0.03757679685754223
1305.9984,59.01892852783203,124.20494842529295,-1.5682348984584584,6.78980049728334,0.0,951,0.025114143447135362
1306.0577,59.01995468139648,123.80240631103516,-1.5682348984584584,6.782531091062407,0.0,955,0.05483264029749435
1306.171,59.02194595336914,123.0305633544922,-1.5682348984584584,6.814170770310177,0.0,963,0.015219262402156097
1306.292,59.0240592956543,122.20173645019533,-1.5682346321423497,6.853629652452217,0.0,971,-0.010091338860012122
1306.3515,59.02510070800781,121.79560089111328,-1.5682346321423497,6.828257541310927,0.0,975,0.022998406971058927
1306.4708,59.02716064453125,120.98554229736328,-1.5682348984584584,6.78144056085968,0.0,984,0.0021929803322553454
1306.5935,59.02931594848633,120.15306091308594,-1.5682348984584584,6.780799688626055,0.0,991,0.0006642354609098788
1306.6563,59.0304069519043,119.72505950927734,-1.5682348984584584,6.838900579717588,0.0,997,0.07982184916985258
1306.7812,59.03260040283203,118.8712387084961,-1.5682348984584584,6.831092823377062,0.0,1005,0.05420941299353643
1306.9068,59.03482437133789,118.01142120361328,-1.5682346321423497,6.851458605846993,0.0,1014,-0.04239620504589858
1306.9745,59.03601837158203,117.54828643798828,-1.5682346321423497,6.838061345493467,0.0,1019,-0.23211507680918864
1307.0989,59.03817367553711,116.70279693603516,-1.5682348984584584,6.778388316985804,0.0,1029,-0.6624544010740223
1307.1595,59.03923034667969,116.29093170166016,-1.5682348984584584,6.79891574631194,0.0,1033,-1.0598103159244987
1307.2811,59.041316986083984,115.47329711914062,-1.5682356974067857,6.638962579973521,0.0,1042,-1.2963018293112576
1307.4054,59.04338073730469,114.6634750366211,-1.5682362300390034,6.381134448176511,0.0,1051,-1.4148186732589965
1307.471,59.04444122314453,114.24977111816406,-1.5682362300390034,6.24857518723945,0.0,1056,-1.286804646760456
1307.5903,59.04633331298828,113.51651763916016,-1.5682367626712217,6.071572645928564,0.0,1065,-1.1380409774238505
1307.6504,59.0472526550293,113.15115356445312,-1.5682367626712217,6.0909127441101845,0.0,1069,-1.0657894157067016
1307.7753,59.04920196533203,112.39212036132812,-1.5682367626712217,6.060160935414821,0.0,1077,-1.0353098798959577
1307.9021,59.05113220214844,111.63851928710938,-1.5682367626712217,5.821895115311361,0.0,1085,-1.1114486223435396
1307.9628,59.05202102661133,111.28793334960938,-1.5682370289873304,5.742025104397899,0.0,1089,-1.2361648359691255
1308.0842,59.05375671386719,110.60401153564452,-1.5682372953034394,5.542812848874157,0.0,1097,-1.2442324713255166
1308.1502,59.05467987060547,110.23976135253906,-1.5682380942517664,5.508223918821051,0.0,1101,-1.2220094023209063
1308.2692,59.05633163452149,109.5891571044922,-1.5682383605678756,5.4066849247348285,0.0,1108,-1.0853974516094995
1308.3933,59.05803680419922,108.92790985107422,-1.5682383605678756,5.231138654665837,0.0,1115,-0.9744265317606073
1308.4517,59.05880355834961,108.62574768066406,-1.5682383605678756,5.110772162722517,0.0,1118,-0.9833046271389216
1308.5717,59.06034851074219,108.01962280273438,-1.5682388932000937,5.08866833894004,0.0,1125,-0.9911839638789761
1308.6958,59.06195068359375,107.39505767822266,-1.5682388932000937,4.9879418969945615,0.0,1131,-1.1579642013553748
1308.7599,59.06277084350586,107.07601165771484,-1.5682388932000937,4.943662319422397,0.0,1135,-1.3240738679267823
1308.8773,59.064208984375,106.51165008544922,-1.5682388932000937,4.702977296099292,0.0,1141,-1.334719848622929
1309.002,59.065673828125,105.93997955322266,-1.5682396921484203,4.480969319933687,0.0,1147,-1.3732933901637532
1309.0601,59.06632614135742,105.68275451660156,-1.5682396921484203,4.394397313802088,0.0,1149,-1.318796848694408
1309.1768,59.0676155090332,105.17300415039062,-1.5682396921484203,4.347493073509584,0.0,1155,-1.1201194436706348
