t_sim_s,x,y,phi,v,delta,ref_idx,a_raw,a
530.0246,58.9030647277832,103.26998901367188,4.624774975262718,4.0990378251520525,-0.0891964904528338,1201,0.040978198916982865,0.05624646949589427
530.1144,58.85616683959961,102.90392303466795,4.61456015458561,4.102717667414801,-0.0967040330738953,1205,0.04990875390474456,0.041397601769234786
530.2302,58.78802490234375,102.43313598632812,4.599894392778653,4.109299064954868,-0.1090538769218258,1210,0.05205581466088762,0.02925563637668615
530.323,58.72701644897461,102.0566177368164,4.587209490190496,4.113576510353059,-0.1137682046898117,1214,0.02498073714561527,0.019575591587746265
530.4222,58.65554428100586,101.65496826171876,4.5730228310636445,4.1140953664868265,-0.118320305913647,1218,-0.0003529645239116625,0.012112485671913018
530.5332,58.56791687011719,101.20713806152344,4.556496584919158,4.113502317210132,-0.1239114416641998,1222,-0.005413715765602139,0.006621336898684334
530.631,58.48372268676758,100.81422424316406,4.541334143568901,4.112964982634969,-0.1276417055092234,1227,-0.0038960212750449178,0.002857163537558098
530.722,58.399749755859375,100.44977569580078,4.527052409591132,4.112766748393404,-0.1277246301987764,1231,-8.466236763522711e-05,0.0005749838580322278
530.8197,58.30384063720703,100.06019592285156,4.51171686277002,4.112949006846196,-0.1279319328200582,1236,0.0025952482124437723,-0.0035054419916948306
530.9302,58.18785858154297,99.62088012695312,4.494199121751697,4.113307079071235,-0.1305031625574229,1241,0.003833214453657163,-0.0032486572467003766
531.0238,58.08310317993164,99.25080871582033,4.478933083435035,4.113731365916188,-0.1363964591279219,1245,0.004385812317278955,0.0029038244028704203
531.1135,57.97662353515625,98.89754486083984,4.463797540011789,4.114110998468992,-0.1394285444204319,1249,0.0032688316157588665,0.009134473010823797
531.2297,57.83032989501953,98.44287872314452,4.443855523453166,4.114404418345872,-0.1404257524983574,1254,0.0028715453557666254,0.009990392561205907
531.3177,57.71348190307617,98.10069274902344,4.42870639790836,4.114697368030639,-0.1404257524983574,1258,0.0031030582029515667,0.005316826433356896
531.4358,57.54834747314453,97.6440887451172,4.408307649222788,4.1150439586415,-0.141672535673776,1264,0.0035725801703477807,-0.00025173480696594457
531.523,57.42026901245117,97.30923461914062,4.393081292006369,4.115430818739612,-0.1434185145571826,1268,0.01932170136921788,-0.0045820715428531115
531.6165,57.27693176269531,96.95247650146484,4.376506842646152,4.118535390078918,-0.1458305853267281,1272,0.01284414230076396,-0.01042532695784441
531.7329,57.08979797363281,96.51163482666016,4.355626860751604,4.118126804208542,-0.1467041982965581,1277,-0.021907534457937864,-0.018765262145054085
531.829,56.92837905883789,96.15089416503906,4.338335488425938,4.113880039006607,-0.1469954359960362,1282,-0.05343266344723129,-0.026841048484209977
531.9282,56.75529479980469,95.78181457519533,4.320449432228856,4.107691405037299,-0.147744407058726,1286,-0.05058600884531909,-0.028048305214586712
532.0217,56.58591079711914,95.43660736083984,4.303497346626066,4.104132115102111,-0.1481605415381553,1291,-0.020962823545572464,-0.024570351574073362
532.133,56.37741088867188,95.03102111816406,4.283355060353469,4.103398218775164,-0.1482437757161215,1296,-0.01847984652754325,-0.022997699546821418
532.2222,56.20528030395508,94.71062469482422,4.267289008445348,4.100426905873338,-0.1481189335517726,1300,-0.0360018490638421,-0.021491102234941818
532.3159,56.01848602294922,94.37618255615234,4.250409360824208,4.096813480581386,-0.1469954359960362,1304,-0.025347246234432665,-0.012850976181663424
