x,y,z,yaw,road_id,target_speed_mps,target_speed_kph
58.80039978027344,204.6956024169922,0.0,-1.568223446865771,47,1.0,3.6
58.8006591796875,204.59559631347656,0.0,-1.568223446865771,47,1.114,4.009
58.8009147644043,204.49560546875,0.0,-1.568223446865771,47,1.217,4.38
58.801170349121094,204.39559936523438,0.0,-1.568223446865771,47,1.311,4.721
58.801429748535156,204.2956085205078,0.0,-1.568223446865771,47,1.4,5.04
58.80168533325195,204.1956024169922,0.0,-1.568223446865771,47,1.483,5.34
58.801944732666016,204.09561157226562,0.0,-1.568223446865771,47,1.562,5.623
58.80220031738281,203.99560546875,0.0,-1.568223446865771,47,1.637,5.893
58.802459716796875,203.89559936523438,0.0,-1.568223446865771,47,1.709,6.152
58.80271530151367,203.7956085205078,0.0,-1.568223446865771,47,1.778,6.399
58.80297088623047,203.6956024169922,0.0,-1.568223446865771,47,1.844,6.638
58.80323028564453,203.59561157226562,0.0,-1.568223446865771,47,1.908,6.868
58.80348587036133,203.49560546875,0.0,-1.568223446865771,47,1.97,7.091
58.80374526977539,203.39561462402344,0.0,-1.568223446865771,47,2.03,7.307
58.80400085449219,203.2956085205078,0.0,-1.568223446865771,47,2.088,7.517
58.80426025390625,203.1956024169922,0.0,-1.568223446865771,47,2.145,7.721
58.80451583862305,203.09561157226562,0.0,-1.568223446865771,47,2.2,7.92
58.80477523803711,202.99560546875,0.0,-1.568223446865771,47,2.254,8.114
58.805030822753906,202.89561462402344,0.0,-1.568223446865771,47,2.307,8.303
58.8052864074707,202.7956085205078,0.0,-1.568223446865771,47,2.358,8.489
58.805545806884766,202.6956024169922,0.0,-1.568223446865771,47,2.408,8.67
58.80580139160156,202.59561157226562,0.0,-1.568223446865771,47,2.458,8.848
58.806060791015625,202.49560546875,0.0,-1.568223446865771,47,2.506,9.022
58.80631637573242,202.39561462402344,0.0,-1.568223446865771,47,2.553,9.192
58.806575775146484,202.2956085205078,0.0,-1.568223446865771,47,2.6,9.36
58.80683135986328,202.19561767578125,0.0,-1.568223446865771,47,2.646,9.525
58.807090759277344,202.09561157226562,0.0,-1.568223446865771,47,2.691,9.687
58.80734634399414,201.99560546875,0.0,-1.568223446865771,47,2.735,9.846
58.80760192871094,201.89561462402344,0.0,-1.568223446865771,47,2.778,10.003
58.807861328125,201.7956085205078,0.0,-1.568223446865771,47,2.821,10.157
58.8081169128418,201.69561767578125,0.0,-1.568223446865771,47,2.864,10.309
58.80837631225586,201.59561157226562,0.0,-1.568223446865771,47,2.905,10.459
58.808631896972656,201.49562072753906,0.0,-1.568223446865771,47,2.946,10.606
58.80889129638672,201.39561462402344,0.0,-1.568223446865771,47,2.987,10.752
58.809146881103516,201.2956085205078,0.0,-1.568223446865771,47,3.027,10.896
58.80940246582031,201.19561767578125,0.0,-1.568223446865771,47,3.066,11.037
58.809661865234375,201.09561157226562,0.0,-1.568223446865771,47,3.105,11.177
58.80991744995117,200.99562072753906,0.0,-1.568223446865771,47,3.143,11.316
58.810176849365234,200.89561462402344,0.0,-1.568223446865771,47,3.181,11.452
58.81043243408203,200.7956085205078,0.0,-1.568223446865771,47,3.219,11.587
58.810691833496094,200.69561767578125,0.0,-1.568223446865771,47,3.256,11.721
58.81094741821289,200.59561157226562,0.0,-1.568223446865771,47,3.292,11.853
58.81120681762695,200.49562072753906,0.0,-1.568223446865771,47,3.329,11.983
58.81146240234375,200.39561462402344,0.0,-1.568223446865771,47,3.365,12.112
58.81171798706055,200.29562377929688,0.0,-1.568223446865771,47,3.4,12.24
58.81197738647461,200.19561767578125,0.0,-1.568223446865771,47,3.435,12.366
58.812232971191406,200.09561157226562,0.0,-1.568223446865771,47,3.47,12.492
58.81249237060547,199.99562072753906,0.0,-1.568223446865771,47,3.504,12.615
58.812747955322266,199.89561462402344,0.0,-1.568223446865771,47,3.538,12.738
58.81300735473633,199.79562377929688,0.0,-1.568223446865771,47,3.572,12.86
58.813262939453125,199.69561767578125,0.0,-1.568223446865771,47,3.606,12.98
58.81352233886719,199.5956268310547,0.0,-1.568223446865771,47,3.639,13.099
58.813777923583984,199.49562072753906,0.0,-1.568223446865771,47,3.672,13.217
58.81403350830078,199.39561462402344,0.0,-1.568223446865771,47,3.704,13.335
58.814292907714844,199.29562377929688,0.0,-1.568223446865771,47,3.736,13.451
58.81454849243164,199.19561767578125,0.0,-1.568223446865771,47,3.768,13.566
58.8148078918457,199.0956268310547,0.0,-1.568223446865771,47,3.8,13.68
58.8150634765625,198.99562072753906,0.0,-1.568223446865771,47,3.831,13.793
58.81532287597656,198.89561462402344,0.0,-1.568223446865771,47,3.863,13.906
58.81557846069336,198.79562377929688,0.0,-1.568223446865771,47,3.894,14.017
58.815834045410156,198.69561767578125,0.0,-1.568223446865771,47,3.924,14.127
58.81609344482422,198.5956268310547,0.0,-1.568223446865771,47,3.955,14.237
58.816349029541016,198.49562072753906,0.0,-1.568223446865771,47,3.985,14.346
58.81660842895508,198.3956298828125,0.0,-1.568223446865771,47,4.015,14.454
58.816864013671875,198.29562377929688,0.0,-1.568223446865771,47,4.045,14.561
58.81712341308594,198.19561767578125,0.0,-1.568223446865771,47,4.074,14.668
58.817378997802734,198.0956268310547,0.0,-1.568223446865771,47,4.104,14.773
