value,N,ns,nc,ntheta,IDOC_mean,IDOC_std,FastDOC_mean,FastDOC_std,SafePDP_mean,SafePDP_std,IDOC_relerr_mean,SafePDP_relerr_mean
20,50,40,10,20,0.1403409949998604,0.02329536492135376,0.026613600000064252,0.001029359867503436,0.08092445500005851,0.016241306480148925,1.4725558098628523e-08,1.887000555647888e-06
80,50,40,10,80,0.14302698999990754,0.02381400939068938,0.03190103999986604,0.0013208238120795495,0.08564284000003682,0.015877724439731365,2.3970757331009377e-08,2.050715266094874e-06
200,50,40,10,200,0.15410178500005714,0.02968821315058977,0.07295503499994993,0.006859262712847652,0.17120790999979363,0.07429829729497327,6.025356095749968e-09,3.914774957466088e-06
400,50,40,10,400,0.16392967500005398,0.01765491491919994,0.08613345499989009,0.009720853316468766,0.1546224099999108,0.014548562496336551,6.38982377714382e-09,2.723617446888983e-06
800,50,40,10,800,0.17997383000006267,0.025085588258143308,0.10897191999983988,0.006628502589269574,0.15959238500004175,0.010270443622253343,8.26839347503004e-08,1.9754615921176452e-06
1200,50,40,10,1200,0.2022626450000189,0.015324326018413052,0.13543729999996684,0.007047033817433686,0.17188014000021212,0.007657391574309839,1.294785858739908e-08,7.552550411724703e-06
1600,50,40,10,1600,0.22414742000009938,0.019416580171304446,0.1586067899999307,0.009590826825221997,0.21773094500003937,0.03107054386642793,1.610001995602773e-08,4.109559994924796e-06
2000,50,40,10,2000,0.2400154649999422,0.018271254860531588,0.18103395999992244,0.011028053221972624,0.22714817500004755,0.03619893477793029,1.988952167770537e-08,4.3943916047543365e-06
