value,N,ns,nc,ntheta,IDOC_mean,IDOC_std,FastDOC_mean,FastDOC_std,SafePDP_mean,SafePDP_std,IDOC_relerr_mean,SafePDP_relerr_mean
4,50,4,1,50,0.007058754999999905,0.0003504637641370027,0.0037658799999974236,0.0009798736737112463,0.007334510000006844,0.0005962739514342766,1.3859346051332823e-12,1.7190996660409676e-12
20,50,20,5,50,0.022462539999997942,0.001200863545602862,0.014340790000008496,0.0009066785706133977,0.026743495000002327,0.0015651828759835392,5.406779913387094e-12,8.739681981089526e-12
40,50,40,10,50,0.14670130500000766,0.015183795826288527,0.0300683499999991,0.0010463621012166777,0.07931383500000208,0.013434270983300117,1.1651986731849347e-12,1.538898959552791e-12
80,50,80,20,50,0.3713869250000073,0.2531796474221427,0.13344807999999944,0.011216079262031095,0.24481212499999289,0.02753493677350563,7.120455524332172e-13,1.6692617846493792e-12
120,50,120,30,50,0.5078624400000024,0.08233564463806,0.18578359500000657,0.007538089877035911,0.4508143649999994,0.06297893261558445,9.299250536502849e-13,1.1653452001473102e-12
160,50,160,40,50,0.6232511450000231,0.08654064262310192,0.25945804000000405,0.011074937646664826,0.5700848050000019,0.05906544560861097,1.225776269853759e-12,5.938014465058494e-12
200,50,200,50,50,0.675889529999995,0.025107637955608376,0.31673835500001246,0.011608128668884783,0.8150296349999848,0.0902126724451057,1.6957158918145842e-12,1.3785605942895062e-12
