value,N,ns,nc,ntheta,IDOC_mean,IDOC_std,FastDOC_mean,FastDOC_std,SafePDP_mean,SafePDP_std,IDOC_relerr_mean,SafePDP_relerr_mean
10,10,40,10,50,0.023549415000000094,0.008940941888171437,0.00800732499999981,0.0005582738724950955,0.014746600000000054,0.002561122330048721,5.62594590747513e-08,3.34420819588497e-06
50,50,40,10,50,0.1333926399999999,0.020900655620877978,0.031777364999999946,0.0021431204382673912,0.08821927499999989,0.025327760165392718,8.240043498859963e-09,5.410039530892948e-06
100,100,40,10,50,0.22198347,0.03926053186090533,0.060771875000000364,0.0036977121151033614,0.22112842500000038,0.059992298087038105,6.0528522065146004e-09,7.067539108640658e-06
200,200,40,10,50,0.3903371400000001,0.06865103174952426,0.12506404500000007,0.017097888019730258,0.34696633499999996,0.03319610593068668,1.232167675462931e-08,2.5908219236826144e-06
400,400,40,10,50,0.6917917449999997,0.04953761267057181,0.24757728000000015,0.04121879077935734,0.7439953000000017,0.10237559693522827,3.584967741437698e-08,2.6739591136393137e-06
600,600,40,10,50,1.2064115199999996,0.5733976575218991,0.3429799599999974,0.03343862933256371,1.0806490900000036,0.05948419754074441,2.074671413831725e-08,4.232144489839334e-06
800,800,40,10,50,1.434711649999997,0.2864967787698787,0.47686415999999954,0.11443124922696928,1.3982371749999956,0.08199568186584251,1.5352880898785734e-08,9.078539665893531e-06
1000,1000,40,10,50,1.7482316999999994,0.12712055437661937,0.5757277449999989,0.028894611858686123,1.8604721250000011,0.1387869639044842,1.3634827519296382e-08,1.909817209828024e-06
